"gene_names","sample1m","sample2m","sample3m","sample4m","sample5m","sample6m","sample7m","sample8m","sample9m","sample10m"
"LRRC59","14","18","12","13","57","22","15","14","31","20"
"LRRC6","17","21","25","4","4","0","2","0","2","0"
"LRRC61","6","9","10","2","8","6","11","5","9","14"
"LRRC63","0","0","1","0","0","0","0","0","0","0"
"LRRC66","12","25","9","4","2","0","1","0","0","0"
"LRRC69","4","3","2","0","0","0","0","0","2","0"
"LRRC70","0","0","0","0","0","0","0","0","1","1"
"LRRC73","0","1","0","0","0","0","0","0","2","0"
"LRRC74B","0","2","2","0","0","0","1","0","0","0"
"LRRC75A","1","5","2","0","3","0","2","3","0","0"
"LRRC75A-AS1","159","103","98","464","250","106","175","199","436","408"
"LRRC75B","6","10","4","29","32","18","7","21","23","19"
"LRRC8A","124","91","142","30","45","86","35","42","27","24"
"LRRC8B","16","28","35","21","33","28","41","33","39","35"
"LRRC8C","0","0","0","0","0","5","4","7","10","0"
"LRRC8D","6","5","16","5","7","9","7","12","8","6"
"LRRC8E","6","6","5","9","11","7","11","0","5","5"
"LRRCC1","27","23","10","15","14","20","18","17","32","35"
"LRRFIP1","280","323","403","513","220","219","194","154","299","271"
"LRRFIP2","22","35","18","22","26","24","24","37","18","32"
"LRRIQ1","9","16","17","22","5","0","0","4","0","0"
"LRRIQ4","9","4","1","0","0","0","0","0","0","0"
"LRRK1","5","4","3","5","3","6","11","5","3","5"
"LRRK2","0","4","0","2","0","0","0","24","0","0"
"LRRN1","0","0","0","0","1","1","0","0","13","1"
"LRRN2","16","1","4","0","0","0","0","0","0","0"
"LRRN3","20","0","0","0","0","0","0","0","0","1"
"LRRN4CL","1","0","0","0","0","1","0","0","0","0"
"LRRTM2","4","13","3","1","6","9","11","11","3","9"
"LRRTM3","0","3","0","0","0","0","0","0","0","0"
"LRSAM1","9","12","6","24","9","9","14","21","10","13"
"LRTOMT","4","16","4","10","25","14","8","4","8","5"
"LRWD1","9","4","5","2","1","5","3","4","6","3"
"LSAMP","15","2","23","9","9","52","33","50","1","7"
"LSAMP-AS1","0","0","0","0","0","1","1","3","0","5"
"LSG1","12","25","25","29","19","70","56","39","51","48"
"LSM1","58","32","30","52","44","61","78","80","69","49"
"LSM10","62","31","44","34","17","36","49","44","61","49"
"LSM11","16","14","9","7","3","2","8","1","3","10"
"LSM12","36","45","55","39","36","61","49","41","57","62"
"LSM14A","85","56","71","40","48","42","38","48","60","43"
"LSM14B","9","18","29","13","8","17","11","11","8","11"
"LSM2","71","29","44","63","54","79","83","71","78","87"
"LSM3","160","90","190","205","166","195","202","163","147","182"
"LSM4","271","239","255","131","139","168","177","194","174","373"
"LSM5","243","153","117","165","144","246","208","221","158","161"
"LSM6","91","25","23","45","149","49","57","37","48","53"
"LSM7","151","110","121","177","119","149","217","176","142","175"
"LSM8","5098","3921","3989","93","81","88","111","123","63","69"
"LSMEM1","3","2","1","5","2","9","10","13","1","3"
"LSMEM2","0","0","0","0","0","0","0","1","0","1"
"LSP1","6","5","0","0","0","28","23","7","41","2"
"LSR","97","154","193","213","113","84","77","50","72","120"
"LSS","1","6","7","17","12","5","11","4","33","21"
"LST1","10","0","0","0","0","26","35","43","4","1"
"LTA4H","36","27","33","69","50","47","38","29","35","41"
"LTB","0","0","0","0","3","4","4","0","0","0"
"LTB4R","0","6","0","1","1","7","2","1","1","3"
"LTBP1","10","14","2","4","6","44","20","120","3","10"
"LTBP2","1","3","3","0","0","15","3","4","0","1"
"LTBP3","44","35","46","23","22","110","90","63","18","35"
"LTBP4","49","43","29","40","39","27","31","45","18","44"
"LTBR","43","112","98","76","63","63","71","84","58","46"
"LTC4S","0","0","0","2","2","6","7","0","31","1"
"LTF","0","245","10","3109","4311","1297","598","517","34","50"
