"gene_names","sample1m","sample2m","sample3m","sample4m","sample5m","sample6m","sample7m","sample8m","sample9m","sample10m"
"CUEDC1","12","29","19","11","11","17","4","1","16","12"
"CUEDC2","13","11","7","31","22","41","33","46","23","20"
"CUL1","15","18","60","44","32","50","40","42","68","40"
"CUL2","16","23","25","14","24","18","21","19","18","17"
"CUL3","80","45","53","28","37","62","34","32","29","55"
"CUL4A","43","36","32","71","46","42","64","63","63","42"
"CUL4B","24","46","27","26","21","11","15","13","23","21"
"CUL5","43","43","34","72","125","126","44","42","52","65"
"CUL7","2","12","33","9","31","6","7","8","5","8"
"CUL9","32","13","22","6","15","10","5","2","4","6"
"CUTA","173","131","100","181","180","338","401","330","261","271"
"CUTC","10","5","11","8","8","9","7","15","10","10"
"CUX1","72","89","107","74","50","74","76","143","123","42"
"CUX2","2","0","0","0","0","0","0","0","0","0"
"CWC15","37","71","47","113","84","114","100","131","135","113"
"CWC22","50","42","160","53","32","28","31","33","38","31"
"CWC25","94","154","126","63","90","74","64","63","61","38"
"CWC27","32","31","20","48","136","114","95","17","63","32"
"CWF19L1","5","15","6","10","8","8","7","6","10","5"
"CWF19L2","53","80","61","69","96","47","24","38","37","36"
"CWH43","16","2","14","5","7","0","0","0","1","2"
"CX3CL1","0","19","0","0","1","1","0","0","0","0"
"CX3CR1","27","0","0","3","0","0","0","0","0","0"
"CXADR","192","174","143","179","133","49","70","42","111","85"
"CXCL1","0","0","29","19","14","165","409","97","2","31"
"CXCL11","2","2","24","0","0","0","0","1","0","0"
"CXCL12","27","44","61","1","0","8","0","14","3","0"
"CXCL14","75","7","143","0","0","229","7","0","100","40"
"CXCL16","20","58","30","26","33","56","99","60","20","21"
"CXCL17","69","179","79","1217","1289","1076","1314","896","725","782"
"CXCL2","65","12","6","24","88","781","934","669","17","143"
"CXCL3","124","13","20","18","47","386","314","173","6","15"
"CXCL5","59","53","449","42","9","11","8","0","0","6"
"CXCL6","0","0","0","0","1","2","0","0","0","0"
"CXCL8","417","14","7","19","78","555","690","1073","1","176"
"CXCL9","0","0","0","0","1","0","2","0","0","0"
"CXCR3","1","0","1","0","0","1","0","0","23","0"
"CXCR4","5","1","3","17","15","41","63","42","112","22"
"CXCR6","0","0","0","0","0","0","0","0","0","3"
"CXXC1","14","26","29","26","46","19","22","13","39","34"
"CXXC4","23","4","10","0","0","1","0","2","6","0"
"CXXC5","54","48","42","19","22","9","3","10","17","17"
"CXorf21","0","0","0","0","0","7","0","4","0","0"
"CXorf23","44","64","24","21","5","8","8","10","8","10"
"CXorf36","0","0","0","0","0","0","2","7","2","0"
"CXorf38","4","19","6","17","15","15","13","25","15","9"
"CXorf40A","7","9","9","6","7","9","10","9","12","6"
"CXorf40B","13","8","5","19","8","5","7","5","5","5"
"CXorf56","16","12","14","11","11","10","12","33","12","12"
"CXorf57","13","0","22","0","0","0","0","0","7","5"
"CXorf65","0","0","0","0","0","0","0","0","4","0"
"CYB561","35","112","58","119","108","95","69","99","155","144"
"CYB561A3","5","7","10","16","8","31","28","16","24","14"
"CYB561D1","3","10","7","6","4","5","2","4","2","3"
"CYB561D2","43","35","31","40","62","62","81","37","40","59"
"CYB5A","203","106","80","440","463","236","267","241","460","343"
"CYB5B","125","159","180","47","19","60","71","62","52","53"
"CYB5D1","3","8","8","4","6","19","11","37","8","6"
"CYB5D2","35","8","20","139","114","39","24","18","38","22"
"CYB5R1","26","25","15","36","50","27","44","20","75","97"
"CYB5R2","0","0","0","2","6","6","8","9","6","6"
"CYB5R3","45","66","59","85","82","113","84","106","90","85"
"CYB5R4","33","31","39","18","26","36","50","60","12","14"
"CYB5RL","0","4","0","4","11","4","4","0","15","3"
"CYBA","100","111","81","109","101","214","291","223","63","125"
"CYBB","18","6","6","0","3","31","39","43","2","3"
"CYBRD1","2","7","0","32","24","40","22","41","41","22"
"CYC1","249","124","189","132","207","276","258","209","225","233"
"CYCS","610","493","422","350","282","507","538","593","308","367"
"CYCSP52","0","0","0","0","0","0","0","0","5","0"
"CYFIP1","36","60","83","51","152","60","72","87","54","100"
"CYFIP2","0","1","3","8","1","2","1","31","28","3"
"CYGB","0","0","0","0","0","21","0","25","10","0"
"CYHR1","18","26","18","62","26","48","33","26","32","17"
"CYLC2","0","1","0","0","0","0","0","0","0","0"
"CYLD","6","10","39","11","13","20","21","25","16","16"
"CYMP","0","1","0","0","3","0","0","0","1","4"
"CYP19A1","2","0","0","0","0","0","2","0","0","0"
"CYP1B1","0","0","0","0","0","3","0","0","0","0"
"CYP20A1","38","54","84","114","64","59","41","46","92","76"
"CYP21A1P","0","0","0","1","0","0","0","0","0","0"
"CYP26A1","0","0","3","0","0","0","0","0","0","0"
"CYP26B1","0","0","0","0","0","4","0","0","0","0"
"CYP27A1","9","17","14","6","2","68","16","1","14","1"
"CYP27B1","1","1","5","0","0","5","7","4","0","2"
"CYP2B6","0","1","4","0","0","1","2","3","0","0"
"CYP2B7P","4","0","25","4","0","1","0","0","0","0"
"CYP2C18","52","81","43","51","45","17","50","23","39","72"
"CYP2C19","3","15","5","4","6","0","2","0","0","2"
"CYP2C8","0","0","2","3","1","0","0","3","4","0"
"CYP2C9","65","65","57","67","9","5","10","12","18","38"
"CYP2D7","0","18","0","0","3","0","0","0","0","0"
"CYP2E1","0","0","0","0","0","2","1","2","1","1"
"CYP2J2","24","14","17","6","6","1","7","4","8","5"
"CYP2R1","1","10","3","22","20","9","4","14","14","12"
"CYP2S1","72","150","107","131","117","37","53","38","132","136"
"CYP2U1","0","0","0","0","4","9","3","6","0","0"
"CYP2W1","0","0","8","2","2","1","0","0","0","0"
"CYP39A1","2","1","0","2","3","0","0","8","2","0"
"CYP3A4","0","0","2","0","0","0","0","0","0","0"
"CYP3A5","284","402","457","248","167","60","166","93","64","102"
"CYP3A7","1","0","0","0","0","0","1","0","0","0"
"CYP46A1","0","0","0","8","0","0","0","0","0","0"
"CYP4B1","0","0","0","0","0","0","0","0","2","0"
"CYP4F11","0","12","0","2","3","1","0","0","2","2"
"CYP4F12","39","93","87","69","46","5","10","2","12","16"
"CYP4F22","0","0","0","0","0","0","0","0","14","13"
"CYP4F3","8","22","4","0","0","0","3","0","0","0"
"CYP4F35P","0","7","0","0","0","0","0","0","2","3"
"CYP4V2","9","26","10","15","20","12","10","29","10","24"
"CYP4X1","0","0","0","33","25","13","14","10","19","11"
"CYP4Z1","0","0","0","2","1","1","0","0","0","0"
"CYP51A1","93","110","99","111","76","85","116","155","82","145"
"CYP51A1-AS1","6","0","0","0","0","0","0","2","0","0"
"CYP7B1","0","0","1","0","1","0","1","0","1","1"
"CYR61","7","4","0","4","10","90","21","94","15","6"
"CYS1","0","0","0","0","0","0","0","0","76","0"
"CYSLTR1","0","0","0","0","0","6","4","1","1","0"
"CYSRT1","2","2","0","6","0","2","1","2","14","5"
"CYSTM1","788","915","880","4675","4368","978","1460","1536","2967","3534"
"CYTH1","54","100","73","71","40","38","49","98","16","22"
"CYTH2","82","97","91","24","24","46","42","45","40","23"
"CYTH3","4","6","17","2","16","7","8","4","8","24"
"CYTH4","0","0","0","0","0","22","5","23","4","0"
"CYTIP","0","4","0","23","13","26","19","19","44","27"
"CYTL1","0","0","0","0","0","0","0","13","1","0"
"CYYR1","0","0","0","0","0","0","2","0","0","7"
"D2HGDH","3","14","15","28","36","2","9","0","15","9"
"DAAM1","144","77","69","39","37","34","34","43","21","16"
"DAAM2","0","0","0","0","0","0","1","8","0","0"
"DAB1","0","0","0","2","0","0","0","0","0","0"
"DAB2","21","25","43","0","0","46","30","75","5","8"
"DAB2IP","18","40","35","46","28","22","30","25","34","8"
"DACH1","61","55","76","0","0","1","0","11","2","24"
"DACT1","7","3","8","1","2","1","2","0","0","0"
"DACT2","0","0","2","0","0","0","0","0","0","0"
"DACT3","0","0","0","0","0","0","0","17","0","0"
"DAD1","442","296","321","425","616","401","430","520","458","425"
"DAG1","28","31","55","69","55","51","45","33","50","41"
"DAGLA","11","4","3","0","6","7","6","0","1","0"
"DAGLB","13","18","9","19","9","19","10","12","10","11"
"DALRD3","1","6","0","3","0","1","2","5","1","0"
"DANCR","108","98","76","92","250","93","95","86","101","109"
"DAND5","0","1","0","0","0","0","0","0","0","0"
"DAP","178","141","192","203","234","133","180","202","201","147"
"DAP3","163","131","183","61","48","82","63","69","75","67"
"DAPK1","47","32","43","64","41","30","25","20","10","20"
"DAPK2","8","52","50","5","13","4","7","0","20","4"
"DAPK3","16","20","41","9","6","76","8","7","13","5"
"DAPL1","16","4","0","20","4","1","1","0","2","0"
"DAPP1","25","20","4","10","12","9","9","6","4","12"
"DARS","61","67","81","124","86","53","35","100","56","54"
"DARS-AS1","0","0","0","0","0","0","0","2","0","0"
"DARS2","23","13","13","20","42","6","9","6","11","11"
"DAXX","17","26","52","45","12","39","34","19","44","34"
"DAZAP1","29","41","48","17","25","42","38","41","39","62"
"DAZAP2","274","234","215","174","129","170","219","182","133","169"
"DAZL","0","0","0","0","0","3","0","0","0","0"
"DBF4","19","28","8","9","7","21","30","24","10","21"
"DBF4B","0","2","0","1","5","3","2","2","6","4"
"DBH","0","0","0","0","0","0","0","1","0","0"
"DBI","680","459","886","457","504","425","638","586","445","431"
"DBIL5P","0","0","0","0","1","0","0","0","0","0"
"DBIL5P2","0","0","0","1","0","0","0","0","0","0"
"DBN1","0","0","2","12","6","25","4","2","10","3"
"DBNDD1","8","6","4","2","6","8","8","7","4","4"
"DBNL","79","102","59","71","52","103","92","77","43","53"
"DBP","4","19","9","12","5","6","8","8","3","7"
"DBR1","9","20","14","40","37","14","18","17","10","22"
"DBT","12","21","24","35","46","16","9","11","75","27"
"DBX2","0","3","5","0","0","1","1","1","0","0"
"DCAF10","14","39","19","47","35","38","20","23","28","34"
"DCAF11","34","40","52","22","45","42","41","41","29","25"
"DCAF12","18","32","50","25","17","24","15","31","14","31"
"DCAF12L1","0","0","0","0","0","0","0","0","3","13"
"DCAF13","76","56","42","30","20","74","59","74","54","47"
"DCAF13P3","11","0","25","1","0","0","0","0","1","0"
"DCAF15","2","9","6","10","5","1","5","3","4","3"
"DCAF16","26","19","20","35","24","18","16","14","33","17"
"DCAF17","11","4","9","6","3","3","4","5","5","12"
"DCAF4","6","3","2","6","5","2","4","6","29","9"
"DCAF4L1","0","0","0","0","16","0","0","0","0","0"
"DCAF4L2","8","5","35","0","0","0","0","0","0","0"
"DCAF5","52","67","51","74","57","34","29","14","51","31"
"DCAF6","29","44","36","67","65","41","37","36","29","39"
"DCAF7","71","59","83","95","99","101","77","87","99","72"
"DCAF8","40","92","35","43","60","51","70","58","60","41"
"DCAKD","0","1","0","10","2","5","4","3","7","4"
"DCBLD1","1","1","0","9","6","6","3","4","1","4"
"DCBLD2","1","2","8","17","22","7","4","17","14","23"
"DCC","0","0","0","0","1","0","4","0","1","0"
"DCDC2","4","9","12","0","1","1","2","6","4","6"
"DCDC2B","0","1","0","6","2","0","0","2","1","0"
"DCDC5","0","0","0","5","0","0","0","0","0","0"
"DCHS1","0","7","0","1","0","5","4","0","3","0"
"DCHS2","0","0","0","14","21","14","12","28","0","0"
"DCK","15","9","11","6","7","14","20","10","10","13"
"DCLK1","1","0","0","0","0","3","0","0","0","0"
"DCLK2","0","0","1","0","1","1","0","0","0","0"
"DCLK3","0","0","0","0","0","5","0","1","0","0"
"DCLRE1A","27","3","4","10","3","2","2","3","6","6"
"DCLRE1B","1","1","0","3","9","4","5","0","13","14"
"DCLRE1C","25","32","78","19","15","21","21","5","25","15"
"DCN","88","3","0","9","0","160","12","193","46","25"
"DCP1A","25","20","80","23","18","42","36","26","41","30"
"DCP1B","10","0","2","12","4","1","0","2","6","6"
"DCP2","26","40","31","11","11","14","19","10","16","13"
"DCPS","63","25","19","16","12","25","20","24","15","14"
"DCST2","0","1","0","0","0","0","0","0","0","0"
"DCSTAMP","0","0","0","0","0","0","3","8","0","0"
"DCTD","20","40","44","61","44","43","64","38","56","56"
"DCTN1","53","116","53","75","183","47","40","73","89","67"
"DCTN1-AS1","0","3","0","8","7","0","0","0","0","3"
"DCTN2","74","77","49","50","91","45","55","59","84","76"
"DCTN3","31","34","60","48","36","41","54","33","68","103"
"DCTN4","35","24","29","20","43","35","25","26","26","35"
"DCTN5","17","39","48","20","26","42","39","44","42","37"
"DCTN6","54","26","27","47","53","71","64","100","37","43"
"DCTPP1","51","56","65","77","60","149","170","118","139","98"
"DCUN1D1","37","31","13","62","44","46","55","99","26","84"
"DCUN1D2","24","5","8","7","4","12","12","11","8","6"
"DCUN1D3","7","26","15","2","4","24","32","23","3","36"
"DCUN1D4","21","14","27","22","28","10","11","58","33","31"
"DCUN1D5","48","35","84","62","32","20","22","28","33","31"
"DCX","6","0","0","1","0","0","0","0","0","0"
"DCXR","82","80","59","153","307","184","213","180","218","203"
"DDA1","60","113","132","21","41","40","53","30","21","41"
"DDAH1","46","79","75","125","86","56","51","37","51","71"
"DDAH2","143","63","85","11","6","34","29","28","31","3"
"DDB1","28","51","44","109","57","63","60","49","75","90"
"DDB2","8","9","3","39","47","9","9","5","27","22"
"DDC","0","1","7","10","7","29","30","36","1","7"
"DDHD1","16","16","20","4","10","28","8","2","12","23"
"DDHD2","15","10","9","23","32","5","8","6","80","12"
"DDI2","0","0","0","0","0","0","0","5","0","1"
"DDIAS","1","2","0","4","0","3","5","1","2","4"
"DDIT3","58","85","53","41","16","63","94","88","36","35"
"DDIT4","211","226","264","41","46","123","141","116","55","31"
"DDOST","98","62","78","81","38","70","55","81","63","33"
"DDR1","72","210","138","142","277","110","162","94","92","50"
"DDR2","0","0","4","0","0","1","0","5","0","0"
"DDRGK1","32","49","63","57","55","77","128","71","44","54"
"DDT","1","1","1","1","1","0","0","0","1","0"
"DDTL","0","0","0","4","0","1","0","1","0","2"
"DDX1","142","134","194","154","128","92","87","89","117","101"
"DDX10","32","21","44","27","19","24","25","12","34","33"
"DDX11","1","1","1","8","2","9","7","2","14","27"
"DDX11-AS1","0","0","1","0","0","1","2","1","0","0"
"DDX12P","5","3","6","5","4","2","1","1","4","6"
"DDX17","203","228","257","321","292","144","143","138","244","219"
"DDX18","262","174","195","201","156","231","147","171","281","204"
"DDX19A","7","14","9","23","16","18","19","15","28","30"
"DDX19B","6","11","3","25","23","22","17","27","12","48"
"DDX20","13","8","16","8","20","4","4","11","9","13"
"DDX21","178","155","188","131","118","260","228","206","231","205"
"DDX23","15","50","49","39","25","112","34","39","42","39"
"DDX24","144","103","87","106","88","177","85","110","168","96"
"DDX26B","3","8","0","18","4","3","5","18","12","2"
"DDX27","81","130","138","83","63","128","123","146","81","72"
"DDX28","3","3","2","9","9","5","4","6","10","11"
"DDX31","6","6","10","9","4","3","9","7","4","9"
"DDX39A","91","162","115","53","44","115","131","82","99","132"
"DDX3X","175","137","233","151","111","220","197","270","129","182"
"DDX3Y","32","7","13","22","15","34","30","55","67","30"
"DDX4","0","0","0","0","0","6","0","0","0","0"
"DDX41","13","25","24","39","16","28","31","49","52","27"
"DDX42","38","52","61","69","52","48","49","43","68","73"
"DDX43","0","0","0","0","0","4","0","10","0","0"
"DDX46","182","224","193","223","217","134","137","92","199","133"
"DDX47","12","7","10","13","15","34","29","47","33","32"
"DDX49","24","34","27","14","9","16","18","9","34","40"
"DDX5","386","333","317","418","380","499","482","548","392","403"
"DDX50","21","40","34","24","26","37","25","36","30","60"
"DDX51","4","28","18","20","24","15","11","3","19","26"
"DDX52","37","37","41","54","21","42","62","31","66","67"
"DDX54","16","13","25","14","11","22","19","18","33","28"
"DDX55","39","18","31","34","31","24","13","28","44","55"
"DDX56","38","67","65","43","43","67","76","47","47","75"
"DDX58","22","39","65","10","15","13","8","13","15","20"
"DDX59","27","15","8","8","6","20","16","8","10","16"
"DDX6","46","43","40","39","158","21","20","37","18","35"
"DDX60","73","180","226","62","49","13","19","15","16","20"
"DDX60L","37","71","71","44","18","11","19","52","20","23"
"DEAF1","7","4","5","11","12","8","9","7","32","13"
"DECR1","83","51","42","97","472","97","105","124","102","69"
"DECR2","26","21","10","92","36","17","32","29","35","24"
"DEDD","16","20","13","22","13","33","20","9","29","5"
"DEDD2","78","85","71","16","27","61","73","42","18","17"
"DEF6","19","29","21","14","8","7","12","4","5","9"
"DEF8","30","20","17","19","37","47","51","37","62","41"
"DEFA5","0","0","0","0","138","0","0","0","0","0"
"DEFA6","0","0","0","0","0","1","0","0","0","0"
"DEFB1","0","0","0","2","0","8","14","12","55","40"
"DEFB118","0","0","0","0","0","0","0","2","0","0"
"DEFB121","0","4","0","0","0","0","0","0","0","0"
"DEFB4A","1","0","0","3","0","0","0","0","0","0"
"DEGS1","46","61","22","36","48","67","62","86","42","25"
"DEGS2","14","27","14","68","68","23","43","25","86","85"
"DEK","280","319","273","295","182","190","184","182","251","335"
"DENND1A","11","15","10","9","18","12","11","8","3","23"
"DENND1B","29","32","61","23","21","15","28","11","10","11"
"DENND1C","1","0","0","0","0","4","2","5","5","1"
"DENND2A","0","0","3","0","0","3","0","3","0","0"
"DENND2C","0","0","0","0","0","0","0","0","0","2"
"DENND2D","26","36","54","23","84","9","12","28","54","38"
"DENND3","31","16","19","3","5","9","13","14","4","2"
"DENND4A","11","12","10","5","5","9","8","0","15","11"
"DENND4B","34","37","43","42","11","24","24","15","21","23"
"DENND4C","24","30","58","81","31","32","29","34","33","47"
"DENND5A","1","5","1","37","7","12","5","12","6","9"
"DENND5B","23","21","8","8","7","14","14","12","15","9"
"DENND6A","9","13","6","57","26","12","12","6","15","7"
"DENND6B","0","1","0","43","1","2","3","6","4","10"
"DENR","87","88","128","110","80","56","48","79","86","70"
"DEPDC1","2","5","0","0","0","7","8","21","1","5"
"DEPDC1-AS1","0","0","0","0","0","0","0","0","0","2"
"DEPDC1B","0","2","0","8","0","7","8","4","2","6"
"DEPDC4","0","0","0","0","3","1","0","0","0","0"
"DEPDC5","2","6","6","10","10","3","1","1","5","5"
"DEPDC7","0","1","0","5","0","0","1","0","1","3"
"DEPTOR","6","20","36","39","57","24","27","25","37","79"
"DERA","24","14","16","16","22","21","42","17","31","29"
"DERL1","100","126","122","80","41","88","82","107","44","53"
"DERL2","47","42","33","57","54","37","47","55","71","79"
"DERL3","0","0","1","3","12","176","61","9","19","22"
"DES","375","367","210","0","0","8","0","0","0","1"
"DESI1","23","36","34","21","23","36","44","44","28","43"
"DESI2","10","21","7","24","20","30","34","47","29","30"
"DET1","1","0","0","5","4","4","0","2","7","2"
"DEXI","8","13","7","12","10","9","6","4","16","6"
"DFFA","20","25","23","29","31","21","25","19","26","29"
"DFFB","2","4","0","7","3","2","3","5","8","5"
"DFNA5","0","0","0","0","0","10","9","0","0","0"
"DFNB31","10","20","5","10","0","6","2","7","0","0"
"DFNB59","0","0","0","1","1","1","1","1","0","0"
"DGAT1","54","95","59","59","45","45","42","38","26","41"
"DGAT2","15","39","13","37","20","23","12","5","7","12"
"DGCR11","0","0","0","0","1","0","2","0","1","1"
"DGCR14","3","4","4","7","4","9","6","6","18","3"
"DGCR2","21","16","30","57","30","33","20","33","44","21"
"DGCR5","0","0","0","0","1","0","0","0","0","0"
"DGCR6","6","4","6","0","1","8","1","0","3","2"
"DGCR6L","24","31","23","29","37","43","34","33","83","47"
"DGCR8","15","9","5","9","7","3","3","0","17","3"
"DGCR9","0","0","0","1","0","0","0","0","0","0"
"DGKA","12","14","11","29","14","12","11","10","3","7"
"DGKB","0","4","2","0","1","0","0","0","0","0"
"DGKD","34","76","107","362","225","42","33","22","90","91"
"DGKE","26","14","8","6","1","6","13","10","2","9"
"DGKG","0","0","0","1","3","3","7","2","0","0"
"DGKH","30","72","64","13","17","74","59","53","17","11"
"DGKI","0","0","0","0","0","0","2","0","0","0"
"DGKQ","11","10","32","14","28","9","14","11","7","3"
"DGKZ","5","23","15","19","14","14","19","15","28","23"
"DGUOK","113","86","106","56","40","75","80","64","58","61"
"DGUOK-AS1","0","1","1","0","1","1","2","0","2","2"
"DHCR24","37","91","101","62","82","50","62","38","103","133"
"DHCR7","15","25","38","15","8","21","24","22","19","43"
"DHDDS","24","40","20","37","14","16","12","11","15","16"
"DHDH","0","1","1","0","1","6","8","6","1","1"
"DHFR","7","31","34","33","24","30","62","56","42","49"
"DHFRL1","3","4","7","6","10","2","4","2","5","7"
"DHODH","4","3","0","8","11","6","12","8","13","7"
"DHPS","16","11","11","10","14","9","12","18","21","7"
"DHRS1","24","39","20","31","56","28","24","33","64","46"
"DHRS11","3","8","16","14","17","6","15","14","34","18"
"DHRS12","7","4","0","25","25","14","16","4","6","8"
"DHRS13","10","3","1","5","3","6","9","2","13","11"
"DHRS2","0","0","0","0","0","0","1","0","2","1"
"DHRS3","98","130","133","144","87","86","119","98","95","89"
"DHRS4","5","4","2","21","14","33","22","18","32","18"
"DHRS4-AS1","20","12","35","37","30","36","38","51","53","34"
"DHRS4L1","0","0","0","2","3","0","0","0","0","0"
"DHRS4L2","7","6","5","28","19","25","45","16","33","33"
"DHRS7","220","131","118","201","272","197","248","293","170","176"
"DHRS7B","38","29","8","33","25","34","27","32","40","37"
"DHRS9","6","7","4","0","0","0","0","0","4","0"
"DHTKD1","19","51","28","61","58","38","35","19","46","19"
"DHX15","49","50","39","161","73","113","57","87","80","111"
"DHX16","17","45","41","32","38","36","19","49","14","7"
"DHX29","112","65","88","189","72","68","55","87","117","63"
"DHX30","40","37","34","52","89","90","92","112","59","64"
"DHX32","12","11","11","11","13","3","2","5","11","14"
"DHX33","5","12","9","18","6","11","10","21","22","22"
"DHX34","6","21","8","10","6","13","8","10","3","21"
"DHX35","10","20","22","24","15","4","4","4","6","7"
"DHX36","26","54","38","57","36","59","44","55","93","34"
"DHX37","5","10","16","11","5","10","3","3","8","6"
"DHX38","23","65","66","38","24","40","22","23","30","19"
"DHX40","19","18","11","23","22","35","18","22","10","30"
"DHX57","1","5","2","3","5","2","8","11","5","3"
"DHX58","17","7","3","5","5","7","5","3","0","7"
"DHX8","39","65","58","20","23","47","44","90","23","54"
"DHX9","73","64","63","100","47","64","42","44","89","79"
"DIABLO","43","55","40","26","42","32","33","25","51","30"
"DIAPH1","47","83","110","109","102","67","83","72","85","132"
"DIAPH2","16","48","57","39","24","27","22","21","28","24"
"DIAPH2-AS1","0","1","0","0","0","0","3","0","0","1"
"DIAPH3","1","4","0","5","3","14","14","29","12","14"
"DICER1","43","64","75","50","66","64","32","53","91","83"
"DICER1-AS1","0","3","1","0","16","1","0","2","3","0"
"DIDO1","19","45","44","39","46","38","50","56","25","41"
"DIEXF","15","12","29","7","19","11","18","17","21","15"
"DIMT1","15","6","11","12","15","32","25","25","12","22"
"DIO2","0","0","2","0","0","27","0","0","1","6"
"DIP2A","56","78","53","110","23","35","27","79","33","47"
"DIP2B","19","28","31","22","33","8","10","26","8","17"
"DIP2C","4","6","6","11","4","9","15","35","16","24"
"DIRAS1","3","0","0","0","0","1","0","0","2","0"
"DIRAS2","0","0","0","0","2","0","0","0","0","0"
"DIRAS3","0","0","0","0","12","4","0","0","3","0"
"DIRC2","11","11","18","9","8","7","13","6","4","5"
"DIRC3","0","0","0","0","0","0","2","0","2","0"
"DIS3","60","42","35","28","39","37","23","23","58","33"
"DIS3L","2","12","4","18","11","15","10","14","22","24"
"DIS3L2","11","31","7","18","4","10","15","17","11","14"
"DISC1FP1","0","0","0","0","0","0","1","0","0","0"
"DISP1","18","11","4","12","11","2","0","0","9","12"
"DISP2","9","2","1","0","0","0","0","0","0","0"
"DIXDC1","5","28","4","130","13","19","7","13","10","4"
"DKC1","42","39","105","44","54","84","49","37","98","89"
"DKFZP434I0714","1","0","1","2","5","0","6","0","0","2"
"DKFZP434L187","0","4","0","2","1","1","0","0","0","0"
"DKFZP586I1420","36","27","12","12","10","19","20","6","18","20"
"DKFZp779M0652","0","0","0","1","0","0","0","3","0","0"
"DKK1","0","0","0","1","0","0","2","0","0","1"
"DKK2","0","0","0","0","0","1","0","0","0","0"
"DKK3","5","0","0","22","23","70","28","61","35","13"
"DKK4","0","1","0","0","0","0","0","0","0","0"
"DLAT","17","10","15","10","8","9","12","16","43","37"
"DLC1","0","0","0","1","3","21","3","24","2","5"
"DLD","86","48","63","76","72","72","72","93","53","153"
"DLEC1","0","6","0","3","0","0","0","0","0","0"
"DLEU1","9","12","4","15","16","16","16","9","6","7"
"DLEU2","3","5","8","6","1","13","8","12","8","8"
"DLEU2L","0","18","0","3","2","1","1","0","1","0"
"DLEU7","0","1","0","0","0","0","0","0","0","0"
"DLEU7-AS1","1","15","1","0","0","0","0","1","0","0"
"DLG1","15","23","29","42","55","41","38","41","45","40"
"DLG1-AS1","0","0","0","1","1","0","0","0","0","0"
"DLG2","0","1","0","2","0","2","0","0","1","0"
"DLG3","65","100","82","29","34","19","18","10","36","20"
"DLG3-AS1","0","0","0","2","0","0","0","0","0","0"
"DLG5","12","28","23","19","13","19","13","2","16","17"
"DLG5-AS1","0","1","0","0","0","4","1","1","0","0"
"DLGAP1","5","4","14","0","3","0","0","0","0","0"
"DLGAP1-AS1","9","6","9","4","17","9","16","6","8","4"
"DLGAP1-AS2","5","5","5","0","0","7","2","0","0","0"
"DLGAP1-AS5","1","0","3","1","4","0","1","1","0","0"
"DLGAP2","0","0","0","0","0","16","0","0","0","0"
"DLGAP3","8","0","0","0","0","2","1","0","0","0"
"DLGAP4","85","70","113","31","38","38","21","18","14","21"
"DLGAP4-AS1","0","0","0","0","0","0","0","0","0","1"
"DLGAP5","7","11","5","1","6","12","18","40","3","11"
"DLK1","72","0","0","0","0","0","0","0","0","0"
"DLL1","6","4","21","0","0","1","0","0","0","15"
"DLL3","0","0","0","26","0","6","0","0","0","0"
"DLL4","33","38","21","0","0","0","0","0","0","0"
"DLST","11","8","37","8","4","2","0","3","1","4"
"DLSTP1","2","2","0","0","0","1","0","0","0","0"
"DLX2","0","0","0","0","0","0","0","3","0","0"
"DLX3","0","3","3","0","0","0","0","0","0","0"
"DLX4","0","0","0","0","0","0","0","9","0","0"
"DLX5","0","0","0","0","0","4","0","0","0","0"
"DLX6","0","0","0","0","0","5","3","4","0","0"
"DLX6-AS1","0","0","0","0","0","2","1","0","0","0"
"DMAP1","28","38","25","46","28","31","16","6","23","43"
"DMBT1","118","376","1045","3","6","536","504","456","0","32"
"DMC1","0","1","0","2","2","4","2","0","10","1"
"DMD","1","3","2","10","13","30","7","47","5","8"
"DMKN","27","11","19","85","59","52","17","37","99","56"
"DMP1","1","5","1","0","0","0","0","0","0","0"
"DMPK","1","3","5","3","7","12","3","5","5","3"
"DMRT1","0","0","2","0","0","0","0","0","0","0"
"DMRT3","0","0","1","0","0","0","0","0","0","0"
"DMRTA1","0","2","19","12","6","1","3","1","1","4"
"DMRTB1","0","0","0","0","0","8","0","0","0","0"
"DMRTC2","0","0","0","0","0","7","0","0","0","0"
"DMTF1","15","10","12","10","8","6","3","5","8","5"
"DMTN","3","18","14","16","16","14","13","24","17","15"
"DMWD","15","41","49","21","12","10","21","9","23","10"
"DMXL1","13","30","29","40","29","24","49","51","22","53"
"DMXL2","10","18","18","26","23","39","30","94","15","19"
"DNA2","0","2","5","0","272","1","6","2","5","9"
"DNAAF1","0","0","0","0","0","2","1","0","0","0"
"DNAAF2","9","10","5","23","14","13","13","13","15","19"
"DNAAF3","0","2","2","3","0","3","3","4","0","0"
"DNAAF5","7","20","13","17","13","21","22","23","14","28"
"DNAH1","5","6","3","5","7","3","4","9","14","0"
"DNAH10","1","3","0","0","0","1","0","1","0","0"
"DNAH11","0","0","0","0","0","0","1","0","0","0"
"DNAH14","8","12","22","10","24","6","2","0","15","15"
"DNAH17","0","0","0","0","0","9","0","3","1","0"
"DNAH17-AS1","3","1","3","0","0","11","1","0","0","0"
"DNAH2","0","0","12","0","0","0","0","0","0","0"
"DNAH3","0","4","3","0","0","0","0","2","0","0"
